MPI-D01 ESTRES,,,Valor,,,,,,
Image type,Feature Class,Feature Name,A,B,C,Media,SD,CV,CV%
original,glcm,Imc2,0.05228874035,0,0,0.01742958012,0.03018891831,1.732050808,173.2050808
original,glcm,InverseVariance,0.006789741693,0,0,0.002263247231,0.003920059194,1.732050808,173.2050808
original,glcm,JointAverage,1.996052194,1,1,1.332017398,0.5750710022,0.4317293476,43.17293476
original,glcm,JointEnergy,0.9853961194,1,1,0.9951320398,0.008431554367,0.008472799618,0.8472799618
original,glcm,JointEntropy,0.07107382611,-3.20E-16,-3.20E-16,2.37E-02,0.04103449264,1.73E+00,1.73E+02
original,glcm,MCC,0.1342876579,1,1,0.7114292193,0.4998192537,0.7025565441,70.25565441
original,glcm,MaximumProbability,0.992657323,1,1,0.997552441,0.004239296554,0.004249697941,0.4249697941
original,glcm,SumAverage,3.992104388,2,2,2.664034796,1.150142004,0.4317293476,43.17293476
original,glcm,SumEntropy,0.06428408441,-3.20E-16,-3.20E-16,2.14E-02,0.03711443344,1.73E+00,1.73E+02
original,glcm,SumSquares,0.003931656905,0,0,0.001310552302,0.002269943172,1.732050808,173.2050808
,,,,,,,,,
,,,,,,,,,
,,,Valores entre 0 y menores o iguales a 5.0,9,,,,,
,,,Valores entre mayor a 5.0 y menores o iguales a 15.0,10,,,,,
,,,Valores mayores a 15.0,35,,,,,
