MPI-N02 ESTRES,,,Valor,,,,,,,,,,
Image type,Feature Class,Feature Name,A,B,C,Media,SD,CV,CV%,SE,1.96SE,IC- 100,IC+ 100
original,firstorder,Uniformity,1,1,1,1,0,0,0,0,0,0,0
original,firstorder,Variance,7.750708782,3.678827253,3.330362621,4.919966219,2.45767868,0.4995316168,49.95316168,0.2039329286,39.97085401,9.982307676,89.92401569
original,glcm,Autocorrelation,1,1,1,1,0,0,0,0,0,0,0
original,glcm,ClusterProminence,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
original,glcm,ClusterShade,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
original,glcm,ClusterTendency,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
original,glcm,Contrast,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
original,glcm,Correlation,1,1,1,1,0,0,0,0,0,0,0
original,glcm,DifferenceAverage,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
original,glcm,DifferenceEntropy,-3.20E-16,-3.20E-16,-3.20E-16,-3.20E-16,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
original,glcm,DifferenceVariance,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
original,glcm,Id,1,1,1,1,0,0,0,0,0,0,0
original,glcm,Idm,1,1,1,1,0,0,0,0,0,0,0
original,glcm,Idmn,1,1,1,1,0,0,0,0,0,0,0
original,glcm,Idn,1,1,1,1,0,0,0,0,0,0,0
original,glcm,Imc1,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
original,glcm,Imc2,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
original,glcm,InverseVariance,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
original,glcm,JointAverage,1,1,1,1,0,0,0,0,0,0,0
original,glcm,JointEnergy,1,1,1,1,0,0,0,0,0,0,0
original,glcm,JointEntropy,-3.20E-16,-3.20E-16,-3.20E-16,-3.20E-16,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
original,glcm,MCC,1,1,1,1,0,0,0,0,0,0,0
original,glcm,MaximumProbability,1,1,1,1,0,0,0,0,0,0,0
original,glcm,SumAverage,2,2,2,2,0,0,0,0,0,0,0
original,glcm,SumEntropy,-3.20E-16,-3.20E-16,-3.20E-16,-3.20E-16,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
original,glcm,SumSquares,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Valores entre 0 y menores o iguales a 5.0,18,,,,,,,,
,,,,Valores entre mayor a 5.0 y menores o iguales a 15.0,16,,,,,,,,
,,,,Valores mayores a 15.0,12,,,,,,,,
